# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookups,1743854705961000000,1743854766009000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1743854705961000000,1743854766009000000,26
Indexes.entries.lookupDurationMaxMs,1743854705961000000,1743854766009000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743854705961000000,1743854766009000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1743854705961000000,1743854766009000000,0.0
Indexes.entries.lookupDuration90PMs,1743854705961000000,1743854766009000000,0.0
Indexes.allKeys.lookups,1743854705961000000,1743854766009000000,0.0
IndexesFlusher.totalFlushesRetried,1743854705961000000,1743854766009000000,1
Indexes.entries.lookups,1743854705961000000,1743854766009000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743854705961000000,1743854766009000000,0.0
Indexes.stubs.lookupDurationMaxMs,1743854705961000000,1743854766009000000,0.0
Indexes.entries.lookupDurationAvgMs,1743854705961000000,1743854766009000000,0.0
IndexesFlusher.totalFlushes,1743854705961000000,1743854766009000000,59
Indexes.stubs.lookupDuration90PMs,1743854705961000000,1743854766009000000,0.0
Indexes.stubs.lookupDurationAvgMs,1743854705961000000,1743854766009000000,0.0
IndexesFlusher.totalFlushingTimeUs,1743854705961000000,1743854766009000000,39670
FlushQueue.queueSizeMax,1743854705961000000,1743854766009000000,0
FlushQueue.waitingTime90PNs,1743854705961000000,1743854766009000000,0
FlushQueue.queueSize90P,1743854705961000000,1743854766009000000,0
AWTEventQueue.dispatchTimeAvgNs,1743854705961000000,1743854766009000000,0.0
FlushQueue.executionTime90PNs,1743854705961000000,1743854766009000000,0
AWTEventQueue.eventsDispatched,1743854705961000000,1743854766009000000,0
AWTEventQueue.dispatchTime90PNs,1743854705961000000,1743854766009000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1743854705961000000,1743854766009000000,568247492
NonBlockingReadAction.finalizedExecutionsCount,1743854705961000000,1743854766009000000,107
AWTEventQueue.dispatchTimeTotalNS,1743854705961000000,1743854766009000000,9601913900
NonBlockingReadAction.failedExecutionTimeUs,1743854705961000000,1743854766009000000,45145829
NonBlockingReadAction.failedExecutionsCount,1743854705961000000,1743854766009000000,38
AWTEventQueue.dispatchTimeMaxNs,1743854705961000000,1743854766009000000,0
FlushQueue.waitingTimeMaxNs,1743854705961000000,1743854766009000000,0
FlushQueue.executionTimeMaxNs,1743854705961000000,1743854766009000000,0
FlushQueue.waitingTimeAvgNs,1743854705961000000,1743854766009000000,0.0
FlushQueue.tasksExecuted,1743854705961000000,1743854766009000000,0
FlushQueue.queueSizeAvg,1743854705961000000,1743854766009000000,0.0
WriteAction.executionsCount,1743854705961000000,1743854766009000000,31
ReadAction.executionsCount,1743854705961000000,1743854766009000000,22471
FlushQueue.executionTimeAvgNs,1743854705961000000,1743854766009000000,0.0
workspaceModel.pre.handlers.ms,1743854705961000000,1743854766009000000,0
workspaceModel.updates.precise.ms,1743854705961000000,1743854766009000000,26
workspaceModel.replace.project.model.ms,1743854705961000000,1743854766009000000,0
workspaceModel.updates.ms,1743854705961000000,1743854766009000000,66
workspaceModel.initializing.ms,1743854705961000000,1743854766009000000,3
workspaceModel.init.bridges.ms,1743854705961000000,1743854766009000000,3
workspaceModel.to.snapshot.ms,1743854705961000000,1743854766009000000,2
workspaceModel.loading.total.ms,1743854705961000000,1743854766009000000,585
workspaceModel.collect.changes.ms,1743854705961000000,1743854766009000000,0
workspaceModel.updates.count,1743854705961000000,1743854766009000000,4
workspaceModel.check.recursive.update.ms,1743854705961000000,1743854766009000000,2
workspaceModel.loading.from.cache.ms,1743854705961000000,1743854766009000000,534
workspaceModel.update.unloaded.entities.ms,1743854705961000000,1743854766009000000,0
JVM.GC.collections,1743854705961000000,1743854766009000000,293
JVM.totalCpuTimeMs,1743854705961000000,1743854766009000000,436828
JVM.totalBytesAllocated,1743854705961000000,1743854766009000000,34785874208
OS.loadAverage,1743854705961000000,1743854766009000000,-1.0
JVM.maxNativeBytes,1743854705961000000,1743854766009000000,-1
JVM.maxHeapBytes,1743854705961000000,1743854766009000000,2147483648
JVM.usedNativeBytes,1743854705961000000,1743854766009000000,374701608
JVM.threadCount,1743854705961000000,1743854766009000000,172
JVM.GC.collectionTimesMs,1743854705961000000,1743854766009000000,2326
JVM.usedHeapBytes,1743854705961000000,1743854766009000000,1703936000
FilePageCacheLockFree.totalBytesRequested,1743854705961000000,1743854766009000000,516096
FilePageCacheLockFree.totalPagesReclaimed,1743854705961000000,1743854766009000000,0
DirectByteBufferAllocator.disposed,1743854705961000000,1743854766009000000,0
DirectByteBufferAllocator.reclaimed,1743854705961000000,1743854766009000000,3
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743854705961000000,1743854766009000000,0
FilePageCacheLockFree.totalPagesWriteMs,1743854705961000000,1743854766009000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1743854705961000000,1743854766009000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1743854705961000000,1743854766009000000,0
DirectByteBufferAllocator.misses,1743854705961000000,1743854766009000000,216
MappedFileStorage.totalTimeSpentOnMappingUs,1743854705961000000,1743854766009000000,93037
StorageLockContext.competingThreads.avg,1743854705961000000,1743854766009000000,0.0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1743854705961000000,1743854766009000000,24811233
FilePageCacheLockFree.housekeeperTimeSpentMs,1743854705961000000,1743854766009000000,213
FilePageCache.capacityInBytes,1743854705961000000,1743854766009000000,503316478
StreamlinedBlobStorage.recordsDeleted,1743854705961000000,1743854766009000000,644
DirectByteBufferAllocator.hits,1743854705961000000,1743854766009000000,3
FilePageCacheLockFree.heapBytesInUse,1743854705961000000,1743854766009000000,0
StorageLockContext.competingThreads.max,1743854705961000000,1743854766009000000,0
FilePageCache.totalPageLoadsUs,1743854705961000000,1743854766009000000,157125
MappedFileStorage.totalBytesMapped,1743854705961000000,1743854766009000000,136314880
FilePageCacheLockFree.totalPagesReadMs,1743854705961000000,1743854766009000000,3
FilePageCacheLockFree.totalPagesWritten,1743854705961000000,1743854766009000000,2
FilePageCacheLockFree.totalPagesRequested,1743854705961000000,1743854766009000000,63
FilePageCache.totalPageDisposalsUs,1743854705961000000,1743854766009000000,527
FilePageCacheLockFree.totalBytesWritten,1743854705961000000,1743854766009000000,6949
FilePageCache.disposedBuffers,1743854705961000000,1743854766009000000,3
FilePageCacheLockFree.totalPagesHandedOver,1743854705961000000,1743854766009000000,0
FilePageCache.pageFastCacheHits,1743854705961000000,1743854766009000000,5775
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1743854705961000000,1743854766009000000,19185341
FilePageCache.pageHits,1743854705961000000,1743854766009000000,0
StorageLockContext.competingThreads.90P,1743854705961000000,1743854766009000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1743854705961000000,1743854766009000000,24576
FilePageCacheLockFree.nativeBytesInUse,1743854705961000000,1743854766009000000,24576
FilePageCacheLockFree.totalNativeBytesReclaimed,1743854705961000000,1743854766009000000,0
FilePageCache.maxCacheSizeInBytes,1743854705961000000,1743854766009000000,221265920
FilePageCacheLockFree.housekeeperTurnsSkipped,1743854705961000000,1743854766009000000,23796
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743854705961000000,1743854766009000000,0
MappedFileStorage.storages,1743854705961000000,1743854766009000000,11
FilePageCache.pageLoads,1743854705961000000,1743854766009000000,216
FilePageCacheLockFree.housekeeperTurnsDone,1743854705961000000,1743854766009000000,119
